B9J08_03209	2179.44906248697	-8.6828528539179	0.473665663763807	-18.3311848803286	4.66628513033249e-75	2.49739580175395e-71	CM076440.1	413307	414369	-	NA	B9J08_03209
B9J08_04863	9635.0118106216	3.13202496629362	0.182957909414827	17.1188279113546	1.07416385738762e-65	2.87446248236926e-62	CM076443.1	24783	33624	+	NA	B9J08_04863
B9J08_01957	397.831753067566	3.66159284212776	0.242016570374558	15.129512976987	1.03458215359439e-51	1.84569456201239e-48	CM076438.1	4144990	4147273	+	NA	B9J08_01957
B9J08_00369	13836.0833515408	2.47667966511142	0.185681763480328	13.338303227467	1.38577853866213e-40	1.85417168472993e-37	CM076438.1	768481	773296	+	NA	B9J08_00369
B9J08_03708	3977.66189983388	4.52531699402796	0.397133136643274	11.394961982467	4.43023343740362e-30	4.74212187139684e-27	CM076440.1	1506982	1509280	+	NA	B9J08_03708
B9J08_01749	57.0019885570541	4.91417546752461	0.446684891086519	11.0014365061047	3.76092366234444e-28	3.35474390681124e-25	CM076438.1	3678137	3678512	-	NA	B9J08_01749
B9J08_05199	565.27035569331	1.61402368207933	0.165342750249447	9.76168401483776	1.64402282369538e-22	1.25697287891681e-19	CM076443.1	834192	835890	-	NA	B9J08_05199
B9J08_04503	19305.3409748554	2.97052303990332	0.320119965026693	9.27940573670758	1.70426424763891e-20	1.14015278167043e-17	CM076442.1	180741	183486	-	NA	B9J08_04503
B9J08_02553	180.65321746639	2.47742786316596	0.274355813164959	9.02998130269756	1.7170113135048e-19	1.02104939443085e-16	CM076439.1	1278178	1279087	+	NA	B9J08_02553
B9J08_05114	1173.98806696241	-1.35017943838718	0.159865824162291	-8.44570404876849	3.02218448467785e-17	1.61747313619959e-14	CM076443.1	643657	644479	+	NA	B9J08_05114
B9J08_05200	1941.99422775828	2.27099988253268	0.276725504921868	8.20668800721453	2.27373389683514e-16	1.10627489235106e-13	CM076443.1	836614	838609	+	NA	B9J08_05200
B9J08_03961	2009.70776668929	-1.02056049639129	0.125270690719247	-8.14684177545204	3.73551938013517e-16	1.66604164354029e-13	CM076441.1	401135	402203	+	NA	B9J08_03961
B9J08_05249	539.87105368737	1.83563041008481	0.239110434307038	7.67691470848864	1.6296585564214e-14	6.7091789184364e-12	CM076444.1	4676	6161	-	NA	B9J08_05249
